YIL,AY,ORTALAMA_TUKETIM_MEAN,ABONE_ADEDI_SUM,KAYIT_SAYISI,ORT_DOLULUK,TOPLAM_SU,BARAJ_SAYISI,TUKETIM
2024,1,170.5,7.0,1.0,35.190000000000005,280086000.0,6.0,76.62
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,148.1
2021,8,170.5,7.0,1.0,48.65833333333333,348099000.0,6.0,132.88
2022,1,58.0,1.0,1.0,52.89333333333334,324869000.0,6.0,141.36
2021,3,1457.0,56.0,1.0,69.53833333333334,440241000.0,6.0,111.44
2020,3,9.0,1.0,1.0,45.97083333333333,763761000.0,12.0,199.85
2021,1,59.5,5.0,2.0,42.87166666666667,270220000.0,6.0,152.18
2020,6,415.0,16.0,1.0,43.65833333333334,337939000.0,6.0,193.02
2024,6,170.5,7.0,1.0,44.92,314563000.0,6.0,98.19
2024,4,10.0,2.0,1.0,49.43333333333334,341213000.0,6.0,121.64
2023,4,67.0,3.0,1.0,46.845,329634000.0,6.0,100.28
2022,9,468.6666666666667,64.0,3.0,42.855,318643000.0,6.0,65.2
2023,10,171.0,20.0,2.0,24.72666666666667,244436000.0,6.0,110.71
2024,5,40.0,9.0,3.0,47.67666666666667,331440000.0,6.0,109.82
2021,7,531.5,51.0,2.0,53.97166666666666,382565000.0,6.0,154.11
2022,11,170.5,7.0,1.0,35.45333333333333,290429000.0,6.0,93.87
2020,7,2170.0,49.0,1.0,38.525,316270000.0,6.0,122.31
2024,8,41.0,2.0,1.0,32.655,257371000.0,6.0,73.71
2023,10,170.5,7.0,1.0,24.72666666666667,244436000.0,6.0,130.06
2023,12,238.0,20.0,1.0,26.203333333333333,247671000.0,6.0,193.49
2020,10,170.5,7.0,1.0,25.903333333333336,258732000.0,6.0,140.63
2024,2,170.5,7.0,1.0,44.58833333333333,331522000.0,6.0,166.23
2021,10,170.5,7.0,1.0,40.41833333333333,310750000.0,6.0,86.98
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,116.88
2020,10,662.5,7.0,2.0,25.903333333333336,258732000.0,6.0,73.43
2022,12,1.0,1.0,1.0,36.53833333333333,288391000.0,6.0,68.88
2022,8,170.5,7.0,1.0,46.225,334604000.0,6.0,92.69
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,138.42
2020,9,17.0,1.0,1.0,28.296666666666667,275243000.0,6.0,118.15
2020,2,170.5,7.0,1.0,44.46666666666667,320996000.0,6.0,117.92
2022,3,170.5,7.0,1.0,71.255,424798000.0,6.0,87.51
2020,7,170.5,7.0,1.0,38.525,316270000.0,6.0,168.91
2021,1,251.5,40.0,2.0,42.87166666666667,270220000.0,6.0,118.06
2023,12,5.0,1.0,1.0,26.203333333333333,247671000.0,6.0,129.95
2023,12,5.0,1.0,1.0,26.203333333333333,247671000.0,6.0,135.21
2021,10,170.5,7.0,1.0,40.41833333333333,310750000.0,6.0,114.85
2020,10,406.5,50.0,2.0,25.903333333333336,258732000.0,6.0,120.9
2024,6,6.0,1.0,1.0,44.92,314563000.0,6.0,121.34
2021,10,170.5,7.0,1.0,40.41833333333333,310750000.0,6.0,152.17
2024,7,126.5,8.0,2.0,39.32833333333333,289223000.0,6.0,107.79
2021,8,170.5,7.0,1.0,48.65833333333333,348099000.0,6.0,255.22
2021,7,54.0,3.0,1.0,53.97166666666666,382565000.0,6.0,77.95
2024,4,10.0,2.0,1.0,49.43333333333334,341213000.0,6.0,186.77
2021,5,12.0,2.0,1.0,67.79166666666667,440658000.0,6.0,177.16
2020,12,1259.6666666666667,107.0,3.0,33.15833333333333,251570000.0,6.0,112.52
2023,5,170.5,7.0,1.0,46.355,326783000.0,6.0,127.59
2023,9,184.0,1.0,1.0,29.215,272137000.0,6.0,164.09
2021,10,11614.5,2120.0,2.0,40.41833333333333,310750000.0,6.0,167.2
2020,3,170.5,7.0,1.0,45.97083333333333,763761000.0,12.0,74.57
2023,5,170.5,7.0,1.0,46.355,326783000.0,6.0,158.8
2023,3,23.0,1.0,1.0,42.32666666666667,313051000.0,6.0,71.64
2021,1,170.5,7.0,1.0,42.87166666666667,270220000.0,6.0,141.14
2022,2,12.0,1.0,1.0,66.33666666666666,380070000.0,6.0,141.39
2020,11,170.5,7.0,1.0,24.118333333333336,243861000.0,6.0,131.97
2021,11,170.5,7.0,1.0,36.111666666666665,299884000.0,6.0,166.52
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,184.84
2021,6,421.0,34.0,1.0,61.6,415893000.0,6.0,191.77
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,197.69
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,96.18
2024,4,170.5,7.0,1.0,49.43333333333334,341213000.0,6.0,118.97
2021,12,4.0,1.0,1.0,44.43,313786000.0,6.0,71.97
2023,7,1219.0,64.0,1.0,41.435,306447000.0,6.0,182.54
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,167.3
2023,10,170.5,7.0,1.0,24.72666666666667,244436000.0,6.0,39.68
2024,4,48.0,6.0,1.0,49.43333333333334,341213000.0,6.0,83.04
2020,1,26.0,4.0,1.0,43.28583333333333,750576000.0,12.0,171.17
2020,1,35.0,2.0,1.0,43.28583333333333,750576000.0,12.0,158.19
2022,11,8.0,1.0,1.0,35.45333333333333,290429000.0,6.0,160.07
2023,5,170.5,7.0,1.0,46.355,326783000.0,6.0,85.19
2023,8,170.5,7.0,1.0,35.550000000000004,289801000.0,6.0,117.74
2023,4,65.0,2.0,1.0,46.845,329634000.0,6.0,185.92
2024,1,170.5,7.0,1.0,35.190000000000005,280086000.0,6.0,172.25
2023,4,170.5,7.0,1.0,46.845,329634000.0,6.0,126.5
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,64.21
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,99.52
2022,8,170.5,7.0,1.0,46.225,334604000.0,6.0,110.58
2023,3,170.5,7.0,1.0,42.32666666666667,313051000.0,6.0,82.92
2021,2,24.5,8.0,2.0,63.975,381253000.0,6.0,157.23
2024,5,40.0,9.0,3.0,47.67666666666667,331440000.0,6.0,127.39
2024,7,22.0,3.0,1.0,39.32833333333333,289223000.0,6.0,105.48
2024,7,214.0,12.0,1.0,39.32833333333333,289223000.0,6.0,171.47
2022,2,170.5,7.0,1.0,66.33666666666666,380070000.0,6.0,97.99
2021,1,52.0,3.0,1.0,42.87166666666667,270220000.0,6.0,178.72
2020,9,57.0,1.0,1.0,28.296666666666667,275243000.0,6.0,154.08
2023,12,170.5,7.0,1.0,26.203333333333333,247671000.0,6.0,149.54
2022,9,561.0,6.0,1.0,42.855,318643000.0,6.0,123.37
2023,6,170.5,7.0,1.0,44.945,320996000.0,6.0,123.45
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,108.78
2020,8,405.5,7.0,2.0,32.69166666666667,294685000.0,6.0,126.81
2022,11,170.5,7.0,1.0,35.45333333333333,290429000.0,6.0,127.3
2023,1,170.5,7.0,1.0,36.13833333333333,284679000.0,6.0,193.39
2020,2,23.0,2.0,1.0,44.46666666666667,320996000.0,6.0,198.85
2020,3,11.0,1.0,1.0,45.97083333333333,763761000.0,12.0,102.71
2021,12,93.0,3.0,1.0,44.43,313786000.0,6.0,127.09
2023,10,170.5,7.0,1.0,24.72666666666667,244436000.0,6.0,134.07
2021,3,401.0,10.0,1.0,69.53833333333334,440241000.0,6.0,101.79
2023,2,22.0,4.0,1.0,39.745,304390000.0,6.0,75.68
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,153.0
2021,7,531.5,51.0,2.0,53.97166666666666,382565000.0,6.0,151.64
2024,1,170.5,7.0,1.0,35.190000000000005,280086000.0,6.0,76.22
2023,6,170.5,7.0,1.0,44.945,320996000.0,6.0,117.75
2023,7,98.5,3.0,2.0,41.435,306447000.0,6.0,106.42
2023,4,170.5,7.0,1.0,46.845,329634000.0,6.0,191.89
2022,4,298.5,51.0,2.0,69.625,417610000.0,6.0,138.04
2021,12,5790.0,539.0,1.0,44.43,313786000.0,6.0,119.22
2020,1,170.5,7.0,1.0,43.28583333333333,750576000.0,12.0,113.23
2020,10,170.5,7.0,1.0,25.903333333333336,258732000.0,6.0,146.64
2022,8,170.5,7.0,1.0,46.225,334604000.0,6.0,14.97
2024,2,2.0,1.0,1.0,44.58833333333333,331522000.0,6.0,47.86
2021,1,7.0,1.0,1.0,42.87166666666667,270220000.0,6.0,129.26
2020,7,170.5,7.0,1.0,38.525,316270000.0,6.0,95.62
2020,2,170.5,7.0,1.0,44.46666666666667,320996000.0,6.0,208.24
2022,2,12.0,1.0,1.0,66.33666666666666,380070000.0,6.0,179.77
2024,4,1290.0,229.0,2.0,49.43333333333334,341213000.0,6.0,96.49
2020,2,15.0,1.0,1.0,44.46666666666667,320996000.0,6.0,176.77
2023,5,170.5,7.0,1.0,46.355,326783000.0,6.0,75.49
2024,1,255.0,88.0,2.0,35.190000000000005,280086000.0,6.0,151.75
2023,12,170.5,7.0,1.0,26.203333333333333,247671000.0,6.0,126.21
2021,2,24.5,8.0,2.0,63.975,381253000.0,6.0,185.5
2022,9,170.5,7.0,1.0,42.855,318643000.0,6.0,74.6
2024,4,1290.0,229.0,2.0,49.43333333333334,341213000.0,6.0,113.52
2021,10,2306.0,77.0,1.0,40.41833333333333,310750000.0,6.0,75.26
2023,3,170.5,7.0,1.0,42.32666666666667,313051000.0,6.0,78.45
2022,5,14.0,4.0,1.0,65.71,400103000.0,6.0,158.73
2020,8,170.5,7.0,1.0,32.69166666666667,294685000.0,6.0,93.95
2020,10,16.0,1.0,1.0,25.903333333333336,258732000.0,6.0,149.41
2023,2,27.0,2.0,1.0,39.745,304390000.0,6.0,198.86
2020,9,170.5,7.0,1.0,28.296666666666667,275243000.0,6.0,179.66
2020,7,211.0,14.0,2.0,38.525,316270000.0,6.0,118.01
2023,6,60474.0,5542.0,1.0,44.945,320996000.0,6.0,51.02
2022,1,170.5,7.0,1.0,52.89333333333334,324869000.0,6.0,181.45
2024,6,42.0,1.0,1.0,44.92,314563000.0,6.0,155.8
2023,10,170.5,7.0,1.0,24.72666666666667,244436000.0,6.0,43.05
2022,4,133.0,1.0,1.0,69.625,417610000.0,6.0,107.75
2022,6,279.0,7.0,2.0,59.61666666666667,373647000.0,6.0,124.79
2023,4,65.0,2.0,1.0,46.845,329634000.0,6.0,56.75
2023,1,1449.0,174.0,2.0,36.13833333333333,284679000.0,6.0,112.67
2022,1,170.5,7.0,1.0,52.89333333333334,324869000.0,6.0,81.58
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,217.05
2024,7,170.5,7.0,1.0,39.32833333333333,289223000.0,6.0,179.2
2020,3,170.5,7.0,1.0,45.97083333333333,763761000.0,12.0,85.89
2024,7,170.5,7.0,1.0,39.32833333333333,289223000.0,6.0,190.09
2024,4,19.0,1.0,1.0,49.43333333333334,341213000.0,6.0,54.42
2020,3,10.0,1.0,1.0,45.97083333333333,763761000.0,12.0,162.25
2022,6,35.0,1.0,1.0,59.61666666666667,373647000.0,6.0,179.01
2023,2,219.33333333333331,10.0,3.0,39.745,304390000.0,6.0,209.78
2022,6,13678.0,1090.0,1.0,59.61666666666667,373647000.0,6.0,77.92
2021,12,10.333333333333334,4.0,3.0,44.43,313786000.0,6.0,149.93
2020,7,170.5,7.0,1.0,38.525,316270000.0,6.0,160.99
2022,10,722.5,21.0,2.0,40.355,303945000.0,6.0,101.7
2021,1,170.5,7.0,1.0,42.87166666666667,270220000.0,6.0,130.35
2024,4,499.0,34.0,1.0,49.43333333333334,341213000.0,6.0,113.14
2023,12,360.0,42.0,1.0,26.203333333333333,247671000.0,6.0,166.3
2022,4,6.0,1.0,1.0,69.625,417610000.0,6.0,172.33
2023,12,834.0,2.0,1.0,26.203333333333333,247671000.0,6.0,70.6
2024,8,88.0,6.0,1.0,32.655,257371000.0,6.0,140.79
2021,7,711.5,99.0,2.0,53.97166666666666,382565000.0,6.0,219.59
2023,12,47.5,4.0,2.0,26.203333333333333,247671000.0,6.0,117.94
2022,11,170.5,7.0,1.0,35.45333333333333,290429000.0,6.0,128.49
2023,10,170.5,7.0,1.0,24.72666666666667,244436000.0,6.0,86.1
2024,6,1942.5,15.0,2.0,44.92,314563000.0,6.0,95.82
2022,5,926.0,38.0,1.0,65.71,400103000.0,6.0,38.19
2024,6,170.5,7.0,1.0,44.92,314563000.0,6.0,187.68
2023,5,170.5,7.0,1.0,46.355,326783000.0,6.0,145.41
2023,2,601.0,5.0,1.0,39.745,304390000.0,6.0,119.49
2023,10,170.5,7.0,1.0,24.72666666666667,244436000.0,6.0,185.6
2024,2,322.0,99.0,2.0,44.58833333333333,331522000.0,6.0,151.77
2022,12,2.0,2.0,1.0,36.53833333333333,288391000.0,6.0,158.04
2022,3,170.5,7.0,1.0,71.255,424798000.0,6.0,146.17
2021,3,8.0,1.0,1.0,69.53833333333334,440241000.0,6.0,107.63
2023,1,30.0,1.0,1.0,36.13833333333333,284679000.0,6.0,101.27
2022,2,170.5,7.0,1.0,66.33666666666666,380070000.0,6.0,117.66
2022,5,170.5,7.0,1.0,65.71,400103000.0,6.0,138.14
2024,4,1211.0,109.0,1.0,49.43333333333334,341213000.0,6.0,106.9
2020,12,318.0,17.0,1.0,33.15833333333333,251570000.0,6.0,166.43
2022,8,170.5,7.0,1.0,46.225,334604000.0,6.0,149.3
2023,3,170.5,7.0,1.0,42.32666666666667,313051000.0,6.0,124.02
2020,7,54.0,1.0,1.0,38.525,316270000.0,6.0,139.87
2020,12,6.0,1.0,1.0,33.15833333333333,251570000.0,6.0,158.63
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,89.15
2023,4,61.0,2.0,1.0,46.845,329634000.0,6.0,159.5
2021,2,3.0,1.0,1.0,63.975,381253000.0,6.0,41.32
2021,2,24.5,8.0,2.0,63.975,381253000.0,6.0,70.01
2022,6,170.5,7.0,1.0,59.61666666666667,373647000.0,6.0,84.24
2020,7,170.5,7.0,1.0,38.525,316270000.0,6.0,146.06
2024,5,1642.0,226.0,1.0,47.67666666666667,331440000.0,6.0,125.66
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,124.71
2021,2,2.0,1.0,1.0,63.975,381253000.0,6.0,62.06
2021,3,170.5,7.0,1.0,69.53833333333334,440241000.0,6.0,79.64
2022,1,170.5,7.0,1.0,52.89333333333334,324869000.0,6.0,178.41
2023,2,27.0,2.0,1.0,39.745,304390000.0,6.0,105.45
2022,1,170.5,7.0,1.0,52.89333333333334,324869000.0,6.0,115.71
2022,6,443.0,6.0,1.0,59.61666666666667,373647000.0,6.0,77.86
2023,9,36.0,7.0,2.0,29.215,272137000.0,6.0,95.9
2022,10,198.0,1.0,1.0,40.355,303945000.0,6.0,95.11
2021,3,668.0,122.0,1.0,69.53833333333334,440241000.0,6.0,86.25
2021,11,170.5,7.0,1.0,36.111666666666665,299884000.0,6.0,151.06
2020,10,406.5,50.0,2.0,25.903333333333336,258732000.0,6.0,159.4
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,185.82
2020,8,8100.0,568.0,2.0,32.69166666666667,294685000.0,6.0,121.53
2023,8,170.5,7.0,1.0,35.550000000000004,289801000.0,6.0,156.93
2020,11,145.66666666666666,24.0,3.0,24.118333333333336,243861000.0,6.0,60.51
2022,1,83.0,11.0,2.0,52.89333333333334,324869000.0,6.0,148.8
2021,2,707.0,4.0,1.0,63.975,381253000.0,6.0,173.13
2021,1,420.5,49.0,2.0,42.87166666666667,270220000.0,6.0,76.04
2020,10,500.0,2.0,1.0,25.903333333333336,258732000.0,6.0,135.02
2022,3,170.5,7.0,1.0,71.255,424798000.0,6.0,124.73
2024,2,499.0,58.0,1.0,44.58833333333333,331522000.0,6.0,132.87
2021,6,421.0,34.0,1.0,61.6,415893000.0,6.0,172.07
2023,4,170.5,7.0,1.0,46.845,329634000.0,6.0,184.98
2021,10,170.5,7.0,1.0,40.41833333333333,310750000.0,6.0,134.1
2022,4,1719.0,139.0,1.0,69.625,417610000.0,6.0,184.48
2021,5,170.5,7.0,1.0,67.79166666666667,440658000.0,6.0,115.12
2024,8,2959.0,235.0,1.0,32.655,257371000.0,6.0,180.14
2021,6,278.0,7.0,1.0,61.6,415893000.0,6.0,140.95
2023,1,170.5,7.0,1.0,36.13833333333333,284679000.0,6.0,213.02
2020,11,170.5,7.0,1.0,24.118333333333336,243861000.0,6.0,109.16
2024,5,170.5,7.0,1.0,47.67666666666667,331440000.0,6.0,76.72
2021,2,98.0,5.0,1.0,63.975,381253000.0,6.0,177.97
2024,1,22.0,2.0,2.0,35.190000000000005,280086000.0,6.0,136.3
2023,12,170.5,7.0,1.0,26.203333333333333,247671000.0,6.0,128.49
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,117.57
2023,9,36.0,7.0,2.0,29.215,272137000.0,6.0,184.14
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,91.78
2022,2,9.0,1.0,1.0,66.33666666666666,380070000.0,6.0,138.29
2024,5,40.0,9.0,3.0,47.67666666666667,331440000.0,6.0,87.71
2023,11,13.0,1.0,1.0,22.915000000000003,229694000.0,6.0,99.32
2023,2,219.33333333333331,10.0,3.0,39.745,304390000.0,6.0,173.3
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,203.28
2023,8,3491.0,338.0,1.0,35.550000000000004,289801000.0,6.0,128.83
2020,2,170.5,7.0,1.0,44.46666666666667,320996000.0,6.0,131.46
2022,12,21.0,1.0,1.0,36.53833333333333,288391000.0,6.0,109.97
2021,4,1461.5,10.0,2.0,71.15166666666666,454646000.0,6.0,154.44
2021,12,170.5,7.0,1.0,44.43,313786000.0,6.0,115.31
2022,3,1516.0,9.0,2.0,71.255,424798000.0,6.0,63.63
2024,6,42.0,1.0,1.0,44.92,314563000.0,6.0,142.05
2020,12,170.5,7.0,1.0,33.15833333333333,251570000.0,6.0,226.76
2020,2,15.0,1.0,1.0,44.46666666666667,320996000.0,6.0,95.77
2023,6,170.5,7.0,1.0,44.945,320996000.0,6.0,85.18
2023,6,12139.0,2582.0,2.0,44.945,320996000.0,6.0,285.14
2022,12,170.5,7.0,1.0,36.53833333333333,288391000.0,6.0,183.29
2023,8,227.5,4.0,2.0,35.550000000000004,289801000.0,6.0,75.34
2024,5,27.0,1.0,1.0,47.67666666666667,331440000.0,6.0,208.33
2020,10,79.0,2.0,2.0,25.903333333333336,258732000.0,6.0,141.82
2024,8,377.0,12.0,1.0,32.655,257371000.0,6.0,117.0
2024,1,170.5,7.0,1.0,35.190000000000005,280086000.0,6.0,95.68
2020,11,170.5,7.0,1.0,24.118333333333336,243861000.0,6.0,53.87
2023,8,31.0,5.0,1.0,35.550000000000004,289801000.0,6.0,69.55
2022,5,170.5,7.0,1.0,65.71,400103000.0,6.0,207.06
2022,5,170.5,7.0,1.0,65.71,400103000.0,6.0,108.81
2021,2,170.5,7.0,1.0,63.975,381253000.0,6.0,120.99
2023,1,2718.0,149.0,1.0,36.13833333333333,284679000.0,6.0,125.45
2023,4,170.5,7.0,1.0,46.845,329634000.0,6.0,172.63
2021,2,170.5,7.0,1.0,63.975,381253000.0,6.0,185.08
2024,7,170.5,7.0,1.0,39.32833333333333,289223000.0,6.0,153.46
2020,3,170.5,7.0,1.0,45.97083333333333,763761000.0,12.0,138.4
2022,6,1771.0,210.0,1.0,59.61666666666667,373647000.0,6.0,66.84
2020,6,415.0,16.0,1.0,43.65833333333334,337939000.0,6.0,159.66
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,115.63
2024,6,170.5,7.0,1.0,44.92,314563000.0,6.0,64.48
2021,7,170.5,7.0,1.0,53.97166666666666,382565000.0,6.0,98.2
2023,4,170.5,7.0,1.0,46.845,329634000.0,6.0,117.85
2021,4,626.0,50.0,1.0,71.15166666666666,454646000.0,6.0,149.83
2023,5,170.5,7.0,1.0,46.355,326783000.0,6.0,116.58
2021,5,170.5,7.0,1.0,67.79166666666667,440658000.0,6.0,103.43
2020,9,170.5,7.0,1.0,28.296666666666667,275243000.0,6.0,119.89
2022,3,170.5,7.0,1.0,71.255,424798000.0,6.0,124.08
2021,8,170.5,7.0,1.0,48.65833333333333,348099000.0,6.0,81.31
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,129.56
2021,11,170.5,7.0,1.0,36.111666666666665,299884000.0,6.0,79.98
2021,6,31991.0,4357.0,2.0,61.6,415893000.0,6.0,144.44
2023,2,311.6666666666667,62.0,3.0,39.745,304390000.0,6.0,137.75
2022,4,1559.0,32.0,1.0,69.625,417610000.0,6.0,234.21
2021,6,170.5,7.0,1.0,61.6,415893000.0,6.0,105.87
2022,11,1025.0,57.0,1.0,35.45333333333333,290429000.0,6.0,175.47
2024,1,170.5,7.0,1.0,35.190000000000005,280086000.0,6.0,116.0
2024,4,170.5,7.0,1.0,49.43333333333334,341213000.0,6.0,85.38
2021,3,317.5,70.0,2.0,69.53833333333334,440241000.0,6.0,164.95
2020,1,170.5,7.0,1.0,43.28583333333333,750576000.0,12.0,126.42
2023,1,170.5,7.0,1.0,36.13833333333333,284679000.0,6.0,147.56
2021,1,46.0,1.0,1.0,42.87166666666667,270220000.0,6.0,94.74
2020,7,552.0,16.0,2.0,38.525,316270000.0,6.0,161.57
2021,8,1830.5,306.0,2.0,48.65833333333333,348099000.0,6.0,74.67
2022,7,88.0,1.0,1.0,52.675,353454000.0,6.0,111.03
2020,4,170.5,7.0,1.0,47.95166666666666,372131000.0,6.0,127.18
2022,8,51.0,3.0,2.0,46.225,334604000.0,6.0,151.81
2023,11,72.0,13.0,2.0,22.915000000000003,229694000.0,6.0,76.93
2021,12,93.0,3.0,1.0,44.43,313786000.0,6.0,106.1
2024,4,3494.5,117.0,2.0,49.43333333333334,341213000.0,6.0,109.76
2022,5,170.5,7.0,1.0,65.71,400103000.0,6.0,192.37
2022,11,263.0,1.0,1.0,35.45333333333333,290429000.0,6.0,138.88
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,89.12
2024,4,212.5,23.0,2.0,49.43333333333334,341213000.0,6.0,75.77
2023,6,170.5,7.0,1.0,44.945,320996000.0,6.0,68.46
2024,7,170.5,7.0,1.0,39.32833333333333,289223000.0,6.0,88.52
2024,6,1942.5,15.0,2.0,44.92,314563000.0,6.0,114.3
2022,7,3191.5,6.0,2.0,52.675,353454000.0,6.0,158.87
2024,1,255.0,88.0,2.0,35.190000000000005,280086000.0,6.0,179.54
2024,1,69.0,6.0,1.0,35.190000000000005,280086000.0,6.0,109.66
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,87.05
2020,10,1979.0,195.0,2.0,25.903333333333336,258732000.0,6.0,198.66
2020,7,170.5,7.0,1.0,38.525,316270000.0,6.0,134.62
2020,6,415.0,16.0,1.0,43.65833333333334,337939000.0,6.0,117.69
2023,11,1185.5,5.0,2.0,22.915000000000003,229694000.0,6.0,85.61
2021,10,170.5,7.0,1.0,40.41833333333333,310750000.0,6.0,128.01
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,116.71
2021,4,170.0,1.0,1.0,71.15166666666666,454646000.0,6.0,27.33
2020,2,170.5,7.0,1.0,44.46666666666667,320996000.0,6.0,65.95
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,171.68
2024,5,170.5,7.0,1.0,47.67666666666667,331440000.0,6.0,155.92
2021,12,2786.5,331.0,2.0,44.43,313786000.0,6.0,182.0
2023,10,612.0,1.0,1.0,24.72666666666667,244436000.0,6.0,117.96
2022,3,123.0,2.0,1.0,71.255,424798000.0,6.0,73.96
2021,12,170.5,7.0,1.0,44.43,313786000.0,6.0,97.15
2020,2,60.0,5.0,2.0,44.46666666666667,320996000.0,6.0,120.13
2024,8,15.0,2.0,1.0,32.655,257371000.0,6.0,112.45
2022,4,9.0,2.0,2.0,69.625,417610000.0,6.0,153.29
2024,6,1942.5,15.0,2.0,44.92,314563000.0,6.0,126.56
2024,6,6.0,1.0,1.0,44.92,314563000.0,6.0,141.5
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,102.14
2021,4,209.0,6.0,3.0,71.15166666666666,454646000.0,6.0,136.71
2021,2,707.0,4.0,1.0,63.975,381253000.0,6.0,159.25
2024,3,47.0,4.0,2.0,49.19499999999999,340131000.0,6.0,88.64
2024,5,170.5,7.0,1.0,47.67666666666667,331440000.0,6.0,81.5
2022,10,6053.0,1.0,1.0,40.355,303945000.0,6.0,208.83
2022,12,2.0,1.0,1.0,36.53833333333333,288391000.0,6.0,120.38
2020,8,170.5,7.0,1.0,32.69166666666667,294685000.0,6.0,96.17
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,145.22
2020,11,15701.5,3513.0,2.0,24.118333333333336,243861000.0,6.0,210.38
2023,12,170.5,7.0,1.0,26.203333333333333,247671000.0,6.0,107.53
2020,8,8100.0,568.0,2.0,32.69166666666667,294685000.0,6.0,101.56
2022,1,170.5,7.0,1.0,52.89333333333334,324869000.0,6.0,41.52
2021,6,170.5,7.0,1.0,61.6,415893000.0,6.0,132.39
2020,7,20.0,1.0,1.0,38.525,316270000.0,6.0,190.78
2021,6,170.5,7.0,1.0,61.6,415893000.0,6.0,155.69
2024,2,170.5,7.0,1.0,44.58833333333333,331522000.0,6.0,95.27
2024,3,552.0,81.0,1.0,49.19499999999999,340131000.0,6.0,94.13
